words_list,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,text.started,trial.stopped,words.started,text_2.started,words.stopped,answers.started,text_3.started,textbox.started,button.started,answers.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,thankyou.started,text_4.started,text_4.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
driver,0,0,0,0,2.0636156000000483,,0.0034973999972862657,0.012566099998366553,2.006000800000038,2.044795099998737,2.0636156000000483,4.005548199998884,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
deliver,0,1,1,1,4.02338079999754,,,,,4.006739799999195,4.02338079999754,6.005373399999371,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
accident ,0,2,2,2,6.024233099997218,,,,,6.006638799997745,6.024233099997218,8.004650099999708,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
identify,0,3,3,3,8.025186299997586,,,,,8.005923400000029,8.025186299997586,10.00413320000007,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
district,0,4,4,4,10.022363000000041,,,,,10.005450699998619,10.022363000000041,12.003488899998047,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
different ,0,5,5,5,12.024646999998367,,,,,12.00468550000005,12.024646999998367,14.002938099998573,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
native,0,6,6,6,14.025993199997174,,,,,14.004225199998473,14.025993199997174,16.002252399997815,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
sacred,0,7,7,7,16.020811099999264,,,,,16.0034169999999,16.020811099999264,18.002075799999147,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
female,0,8,8,8,18.020849499996984,,,,,18.003363499999978,18.020849499996984,20.001291099997616,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
institution ,0,9,9,9,20.020612899999833,,,,,20.00264309999693,20.020612899999833,22.000783799998317,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
powder,0,10,10,10,22.019988199997897,,,,,22.00208609999754,22.019988199997897,24.016953999998805,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
picture ,0,11,11,11,24.035866399997758,,,,,24.018280799999047,24.035866399997758,26.016545099999348,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
proposal,0,12,12,12,26.035896199999115,,,,,26.017885399996885,26.035896199999115,28.0158792000002,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
freeze ,0,13,13,13,28.04675799999677,,,,,28.01720589999968,28.04675799999677,30.01533500000005,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
silence ,0,14,14,14,30.033538199997565,,,,,30.016645299998345,30.033538199997565,32.01486689999729,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
holiday ,0,15,15,15,32.03316300000006,,,,,32.01615539999693,32.03316300000006,34.01417489999949,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
passenger ,0,16,16,16,34.04147049999665,,,,,34.01546929999677,34.04147049999665,36.01378789999944,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
reputation ,0,17,17,17,36.03309839999929,,,,,36.01507899999706,36.03309839999929,38.01296809999985,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
minister,0,18,18,18,38.03093119999903,,,,,38.01414149999982,38.03093119999903,40.0125913999982,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
shade ,0,19,19,19,40.03113079999821,,,,,40.01392069999929,40.03113079999821,42.011829499999294,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
christams ,0,20,20,20,42.031540799998766,,,,,42.01310399999784,42.031540799998766,44.01139829999738,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
profit ,0,21,21,21,44.030197999996744,,,,,44.01268219999838,44.030197999996744,46.010945099998935,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
hair,0,22,22,22,46.028400899998815,,,,,46.01224459999867,46.028400899998815,48.01035529999717,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
lady,0,23,23,23,48.02806090000013,,,,,48.011649999996735,48.02806090000013,50.00983709999855,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
respond ,0,24,24,24,50.02831689999948,,,,,50.01112490000014,50.02831689999948,52.00904279999668,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
publicaly ,0,25,25,25,52.032586399996944,,,,,52.01059379999788,52.032586399996944,54.00892959999692,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
grocery ,0,26,26,26,54.029439199999615,,,,,54.01017359999969,54.029439199999615,56.00787429999764,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
patch ,0,27,27,27,56.02715419999731,,,,,56.00917489999847,56.02715419999731,58.00783579999916,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
sentence ,0,28,28,28,58.028784299996914,,,,,58.009142099999735,58.028784299996914,60.007149899996875,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
towards ,0,29,29,29,60.02559130000009,,,,,60.00839239999914,60.02559130000009,62.00656869999875,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
point ,0,30,30,30,62.02502999999706,,,,,62.007816399996955,62.02502999999706,64.0057762999968,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
private ,0,31,31,31,64.02243219999946,,,,,64.00693049999973,64.02243219999946,66.00557089999711,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
pop,0,32,32,32,66.02629639999941,,,,,66.00735839999834,66.02629639999941,68.00500329999704,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
student ,0,33,33,33,68.02447729999767,,,,,68.00628209999923,68.02447729999767,70.00429759999679,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
cabinet,0,34,34,34,70.02173609999954,,,,,70.00542919999862,70.02173609999954,72.00386589999835,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
abroad ,0,35,35,35,72.02252509999744,,,,,72.00512969999909,72.02252509999744,74.00277099999948,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
priest ,0,36,36,36,74.01910609999686,,,,,74.00324829999954,74.01910609999686,76.00279079999746,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
retain ,0,37,37,37,76.02282849999756,,,,,76.00378449999698,76.02282849999756,78.00309029999698,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
athletic ,0,38,38,38,78.02109129999735,,,,,78.00424369999746,78.02109129999735,80.0015370000001,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
exhibition ,0,39,39,39,80.02680589999727,,,,,80.00271609999982,80.02680589999727,82.00125979999939,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
partner ,0,40,40,40,82.01902759999939,,,,,82.00243699999919,82.01902759999939,84.00073059999704,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
english ,0,41,41,41,84.02100289999726,,,,,84.00190519999887,84.02100289999726,86.01667099999759,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
always ,0,42,42,42,86.03515759999937,,,,,86.01797689999876,86.03515759999937,88.0162608999999,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
trail ,0,43,43,43,88.03501679999681,,,,,88.01740779999818,88.03501679999681,90.01552459999948,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
die,0,44,44,44,90.03447839999717,,,,,90.01680629999828,90.03447839999717,92.01485390000016,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
urge ,0,45,45,45,92.03391989999727,,,,,92.01597779999793,92.03391989999727,94.01451969999835,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
grain,0,46,46,46,94.03398559999914,,,,,94.01567519999662,94.03398559999914,96.01400680000006,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
leaf,0,47,47,47,96.0315871999992,,,,,96.01513219999833,96.0315871999992,98.01346409999678,,,,,,,,,,,,,,P,001,2023-11-22_16h46.46.492,finalassignment,2023.2.2,60.11161524727563,2023-11-22 16h47.03.274847 +0530,
,,,,,,,,,,,,,98.01368499999808,98.07366929999989,98.07366929999989,98.07366929999989,169.6674583999993,"driver, passenger, native, graocery, patch, minister, delivery, sacred, leaf, pop, reputation, freeze, accident, district, identify, christmas, ",1,[71.64646060000086],[71.64648849999867],169.66773709999688,169.67522129999998,171.6764332999992,171.66185589999805,,,,,,,,
